game_str,play_id,play_per_game,line_distance,full_distance,,route_efficiency,time_delta,avg_speed,first_step_speed,first_step_check,hang_time,easy_catch
1903_30_TeamNF_TeamA2,256,256,40.11735334,53.40561281,13.28825948,0.7511823425,8.8,6.068819638,6.468193279,1,5.4,1
1902_17_TeamMB_TeamA1,48,48,78.1432967,90.36623242,12.22293571,0.8647400098,5.35,16.89088456,7.360560232,1,5,1
1903_07_TeamND_TeamA2,150,151,53.41048327,65.6142877,12.20380442,0.8140069053,7.3,8.988258589,13.96648949,1,4,1
1903_05_TeamND_TeamA2,95,95,44.77685341,56.08195461,11.3051012,0.7984182028,10.3,5.444849962,6.788373656,1,6.5,1
1902_23_TeamMA_TeamA1,239,239,95.21162336,106.3577547,11.14613139,0.8952015167,10.8,9.847940254,5.630045457,1,8.45,1
1903_05_TeamND_TeamA2,126,126,31.07645533,41.86775491,10.79129959,0.7422527287,7.1,5.896866889,2.39324772,1,3.7,1
1902_24_TeamMA_TeamA1,312,312,79.78496605,90.11797449,10.33300844,0.8853390958,5.841,15.42851815,5.166469142,1,8.2,1
1902_22_TeamMA_TeamA1,166,166,32.04225091,42.31171518,10.26946427,0.7572902864,6.1,6.93634675,4.596605639,1,5.6,1
1903_06_TeamND_TeamA2,47,48,54.04668709,63.59067571,9.543988617,0.8499152822,8.5,7.481255966,8.297954143,1,5.5,1
1903_29_TeamNF_TeamA2,258,258,26.31754911,35.19645451,8.878905395,0.7477329601,6.85,5.138168541,5.205792398,1,3.25,1
1902_28_TeamMC_TeamA1,1,1,48.9382863,57.42949411,8.491207813,0.852145523,5.65,10.16451223,3.775019588,1,5,1
1903_02_TeamNE_TeamA2,124,124,51.98648206,60.46616325,8.479681186,0.8597615471,7.55,8.008763344,3.051607978,1,4.5,1
1903_29_TeamNF_TeamA2,65,65,43.6585983,51.83532897,8.176730662,0.8422556425,8.15,6.360163063,6.038625905,1,4.9,1
1903_02_TeamNE_TeamA2,192,193,58.43795763,65.19973106,6.761773425,0.8962913908,7.05,9.248188803,7.634528384,1,4,1
1902_22_TeamMA_TeamA1,246,246,23.85036687,29.83653069,5.986163827,0.7993679665,5.8,5.14422943,3.753277855,1,5.6,1
1902_22_TeamMA_TeamA1,191,191,83.74812551,89.51677164,5.768646134,0.9355579292,5.35,16.73210685,6.165118933,1,5.2,1
1902_22_TeamMA_TeamA1,237,237,26.95621095,32.05792181,5.101710864,0.8408595886,4.2,7.632838526,0.9952582178,0,4.1,1
1902_24_TeamMA_TeamA1,95,95,61.87951815,66.90817103,5.028652878,0.9248424699,5.445,12.28800203,5.179376628,1,7.8,1
1903_06_TeamND_TeamA2,96,98,62.44313515,65.85357403,3.410438882,0.9482117876,8.7,7.569376325,6.212806938,1,5.55,1
1903_03_TeamNE_TeamA2,286,288,40.88257795,43.87603322,2.993455264,0.931774706,8.9,4.929891373,6.800588695,1,5.9,1
1903_29_TeamNF_TeamA2,164,164,10.5796288,11.0890756,0.5094468005,0.9540586773,6.9,1.607112406,3.359724123,1,3.7,1
